"Step","lmbda0_lr5e5_steps20k - train/loss","lmbda0_lr5e5_steps20k - train/loss__MIN","lmbda0_lr5e5_steps20k - train/loss__MAX","lmbda1_lr1e4 - train/loss","lmbda1_lr1e4 - train/loss__MIN","lmbda1_lr1e4 - train/loss__MAX","lmbda1_lr5e5 - train/loss","lmbda1_lr5e5 - train/loss__MIN","lmbda1_lr5e5 - train/loss__MAX","lmbda0_beta1 - train/loss","lmbda0_beta1 - train/loss__MIN","lmbda0_beta1 - train/loss__MAX","lmbda0_lr1e4 - train/loss","lmbda0_lr1e4 - train/loss__MIN","lmbda0_lr1e4 - train/loss__MAX","lmbda1_tok512 - train/loss","lmbda1_tok512 - train/loss__MIN","lmbda1_tok512 - train/loss__MAX","lmbda1_bs16 - train/loss","lmbda1_bs16 - train/loss__MIN","lmbda1_bs16 - train/loss__MAX","lmbda1_tok256 - train/loss","lmbda1_tok256 - train/loss__MIN","lmbda1_tok256 - train/loss__MAX","lmbda1_beta05 - train/loss","lmbda1_beta05 - train/loss__MIN","lmbda1_beta05 - train/loss__MAX","lmbda0_beta05 - train/loss","lmbda0_beta05 - train/loss__MIN","lmbda0_beta05 - train/loss__MAX"
"55","","","","0.2145","0.2145","0.2145","0.2327","0.2327","0.2327","0.2547","0.2547","0.2547","0.1525","0.1525","0.1525","1.2769","1.2769","1.2769","0.5867","0.5867","0.5867","0.5698","0.5698","0.5698","0.1067","0.1067","0.1067","0.0928","0.0928","0.0928"
"56","0.3319","0.3319","0.3319","0.2269","0.2269","0.2269","0.2545","0.2545","0.2545","0.2657","0.2657","0.2657","0.1681","0.1681","0.1681","1.2934","1.2934","1.2934","0.562","0.562","0.562","0.6365","0.6365","0.6365","0.1192","0.1192","0.1192","0.1007","0.1007","0.1007"
"57","0.3121","0.3121","0.3121","0.2207","0.2207","0.2207","0.2488","0.2488","0.2488","0.2509","0.2509","0.2509","0.167","0.167","0.167","1.2222","1.2222","1.2222","0.5981","0.5981","0.5981","0.6016","0.6016","0.6016","0.1113","0.1113","0.1113","0.0961","0.0961","0.0961"
"58","0.3273","0.3273","0.3273","0.2103","0.2103","0.2103","0.2292","0.2292","0.2292","0.2648","0.2648","0.2648","0.1709","0.1709","0.1709","1.3639","1.3639","1.3639","0.5934","0.5934","0.5934","0.6124","0.6124","0.6124","0.11","0.11","0.11","0.1029","0.1029","0.1029"
"59","0.3415","0.3415","0.3415","0.2312","0.2312","0.2312","0.2396","0.2396","0.2396","0.2753","0.2753","0.2753","0.1714","0.1714","0.1714","1.225","1.225","1.225","0.5687","0.5687","0.5687","0.6121","0.6121","0.6121","0.116","0.116","0.116","0.1007","0.1007","0.1007"
"60","","","","0.2114","0.2114","0.2114","0.2283","0.2283","0.2283","0.2271","0.2271","0.2271","0.1353","0.1353","0.1353","1.1891","1.1891","1.1891","0.5294","0.5294","0.5294","0.5513","0.5513","0.5513","0.1079","0.1079","0.1079","0.0844","0.0844","0.0844"
"61","","","","0.2168","0.2168","0.2168","0.2163","0.2163","0.2163","0.2225","0.2225","0.2225","0.134","0.134","0.134","1.227","1.227","1.227","0.5891","0.5891","0.5891","0.5628","0.5628","0.5628","0.1013","0.1013","0.1013","0.0788","0.0788","0.0788"
"62","0.2971","0.2971","0.2971","0.2286","0.2286","0.2286","0.2461","0.2461","0.2461","0.237","0.237","0.237","0.1575","0.1575","0.1575","1.3539","1.3539","1.3539","0.6252","0.6252","0.6252","0.6191","0.6191","0.6191","0.1167","0.1167","0.1167","0.0963","0.0963","0.0963"
"63","0.3085","0.3085","0.3085","0.2355","0.2355","0.2355","0.258","0.258","0.258","0.2482","0.2482","0.2482","0.1479","0.1479","0.1479","1.2034","1.2034","1.2034","0.5508","0.5508","0.5508","0.5848","0.5848","0.5848","0.1092","0.1092","0.1092","0.0962","0.0962","0.0962"
"64","","","","0.2169","0.2169","0.2169","0.2232","0.2232","0.2232","0.2636","0.2636","0.2636","0.1817","0.1817","0.1817","1.1391","1.1391","1.1391","0.5645","0.5645","0.5645","0.5522","0.5522","0.5522","0.1008","0.1008","0.1008","0.0862","0.0862","0.0862"
"65","","","","0.2001","0.2001","0.2001","0.2194","0.2194","0.2194","0.2394","0.2394","0.2394","0.1351","0.1351","0.1351","1.0993","1.0993","1.0993","0.5589","0.5589","0.5589","0.5255","0.5255","0.5255","0.0998","0.0998","0.0998","0.0889","0.0889","0.0889"
"66","0.3079","0.3079","0.3079","0.2308","0.2308","0.2308","0.2538","0.2538","0.2538","0.242","0.242","0.242","0.1495","0.1495","0.1495","1.252","1.252","1.252","0.5436","0.5436","0.5436","0.627","0.627","0.627","0.1121","0.1121","0.1121","0.0944","0.0944","0.0944"
"67","","","","0.1879","0.1879","0.1879","0.2198","0.2198","0.2198","0.2105","0.2105","0.2105","0.1342","0.1342","0.1342","1.1099","1.1099","1.1099","0.5296","0.5296","0.5296","0.5406","0.5406","0.5406","0.0945","0.0945","0.0945","0.076","0.076","0.076"
